lieu_conservation,lieu_conservation 1,coordonnées géographiques,lieu_conservation 2,nombre_oeuvres
Département des sculptures du musée du Louvre (Paris),département des sculptures du musée du Louvre,"48.86108888888889,2.33575",Paris,489
"Basilique cathédrale Saint-Denis, ancienne abbaye (Saint-Denis)",cathédrale Saint-Denis de Saint-Denis de La Réunion,"-20.8772,55.4487",Saint-Denis,133
Ecole nationale supérieure des beaux-arts (Paris),École nationale supérieure des beaux-arts,"48.856711111111,2.3335222222222",Paris,128
Musée national des châteaux de Versailles et de Trianon (Versailles),musée de l’Histoire de France,"48.8044,2.12197",Versailles,102
Château de Gaillon,château de Gaillon,"49.161111111111,1.3297222222222",,82
"Musée de Cluny, Musée national du Moyen Âge (Paris)",musée national du Moyen Âge,"48.850555555556,2.3433333333333",Paris,71
Musée Condé (Chantilly),musée Condé,"49.193944444444,2.4852777777778",Chantilly,53
Département des antiquités grecques étrusques et romaines du musée du Louvre,musée du Louvre,"48.86108888888889,2.33575",Paris,33
Musée des Antiquités (Rouen),musée départemental des antiquités,"49.4471,1.09949",Rouen,31
Musée national de la Renaissance (Ecouen),château d'Écouen,"49.0175,2.3783333333333",Ecouen,28
,,"49.0175,2.3783333333333",,
Eglise Saint-Étienne-du-Mont (Paris),église Saint-Étienne-du-Mont,"48.846389,2.347778",Paris,22
Eglise Saint-Roch (Paris),église Saint-Roch,"48.865327,2.332608",Paris,15
Eglise Saint-Sulpice (Paris),église Saint-Sulpice de Paris,"48.851111,2.334722",Paris,15
Cathédrale Notre-Dame (Paris),cathédrale Notre-Dame de Paris,"48.853,2.3498",Paris,12
Département des objets d'art du musée du Louvre (Paris),département des objets d'art du musée du Louvre,"48.86108888888889,2.33575",Paris,12
Eglise du Dôme des Invalides (Paris),hôtel des Invalides,"48.855,2.3125",Paris,12
Musée du Louvre (Paris),musée du Louvre,"48.86108888888889,2.33575",Paris,12
Eglise Saint-Germain-des-Prés (Paris),église Saint-Germain-des-Prés,"48.85453,2.33408",Paris,10
Eglise Saint-Gervais-Saint-Protais (Paris),église Saint-Gervais-Saint-Protais,"48.855556,2.354444",Paris,9
Eglise Notre-Dame-de-la-Nativité (Magny-en-Vexin),église Notre-Dame de Wassy,"48.499927,4.949234",Magny-en-Vexin,7
Eglise Saint-Joseph-des-Carmes (Paris),église Saint-Joseph-des-Carmes,"48.848492,2.330353",Paris,7
Musée Carnavalet (Paris),musée Carnavalet,"48.857375,2.362745",Paris,7
Chapelle de l'hôpital général (Tonnerre),hôtel-Dieu de Tonnerre,"47.85616,3.97536",Tonnerre,6
Eglise Saint-Nicolas-du-Chardonnet (Paris),église Saint-Nicolas-du-Chardonnet,"48.849166666667,2.3502777777778",Paris,6
Chapelle du château de Chantilly,château de Chantilly,"49.193888888889,2.4858333333333",,5
Cimetière du PèreLachaise (Paris),cimetière du Père-Lachaise,"48.861944444444,2.3941666666667",Paris,5
Eglise Saint-Eustache (Paris),église Saint-Eustache,"48.863333333333,2.345",Paris,5
Musée de l'Ile-de-France (Sceaux),musée de l'Île-de-France,"48.7744,2.3",Sceaux,5
The Metropolitan Museum of Art (New York),Metropolitan Museum of Art,"40.77891,-73.96367",New York,5
Bibliothèque historique de la Ville de Paris,bibliothèque historique de la Ville de Paris,"48.8569,2.3619",,4
Chapelle du château d'Anet,chapelle du château d'Anet,"48.85811,1.43855",,4
Eglise Notre-Dame-des-Victoires (Paris),basilique Notre-Dame-des-Victoires,"48.866667,2.340833",Paris,4
Eglise Saint-Germain-l'Auxerrois (Paris),église Saint-Germain-l'Auxerrois,"48.859444,2.341111",Paris,4
Musée Antoine Vivenel (Compiègne),musée Antoine-Vivenel,"49.4176,2.8213",Compiègne,4
Musée Lambinet (Versailles),Musée Lambinet,"48.8087571,2.1301031",Versailles,4
Sainte-Chapelle (Paris),Sainte-Chapelle de Vincennes,"48.8424,2.43636",Paris,4
Bibliothèque Mazarine (Paris),bibliothèque Mazarine,"48.85722222,2.33694444",Paris,3
"BnF - département des Monnaies, médailles et antiques","Département des Monnaies, Médailles et Antiques de la Bibliothèque nationale de France","48.8678,2.3384",Paris,3
Comédie française (Paris),Bibliothèque-musée de la Comédie-Française,"48.8678,2.3384",Paris,3
Eglise Saint-Paul-Saint-Louis (Paris),église Saint-Paul-Saint-Louis,"48.854672222222,2.3615583333333",Paris,3
Hôpital (Ivry-sur-Seine),hôpital Charles-Foix,"48.8056,2.39618",Ivry-sur-Seine,3
Musée des Beaux-Arts (Orléans),musée des Beaux-Arts d'Orléans,"47.9025,1.90944444",Orléans,3
Musée national des châteaux de Malmaison et de Bois-Préau (Rueil-Malmaison),musée national de Malmaison et Boi-Préau,"48.882415, 2.169949",Rueil-Malmaison,3
Victoria and Albert Museum (Londres),Victoria and Albert Museum,"51.496302,-0.172078",Londres,3
Cathédrale Saint-Gervais-et-Saint-Protais (Soissons),cathédrale Saint-Gervais-et-Saint-Protais de Soissons,"49.3808,3.3252",Soissons,2
Cathédrale Sainte-Croix de Paris,cathédrale Sainte-Croix-Saint-Jean-des-Arméniens,"48.8609,2.36028",Paris,2
Eglise (Saint-Cloud),église Saint-Clodoald de Saint-Cloud,"48.8434,2.21939",Saint-Cloud,2
Eglise Notre-Dame (Versailles),église Notre-Dame de Versailles,"48.807777777778,2.1288888888889",Versailles,2
Eglise Saint-Louis-et-Saint-Nicolas (Choisy-le-Roi),cathédrale Saint-Louis-et-Saint-Nicolas de Choisy-le-Roi,"48.76555556,2.4075",Choisy-le-Roi,2
Eglise Saint-Merry (Paris),église Saint-Merri,"48.858889,2.350556",Paris,2
Eglise Saint-Séverin (Paris),église Saint-Séverin,"48.851944,2.345556",Paris,2
Eglise Sainte-Marguerite (Paris),église Sainte-Marguerite,"48.8528,2.38111",Paris,2
Fondation d'Aligre et Marie-Thérèse (Lèves),Fondation d'Aligre et Marie-Thérèse,"48.470141, 1.480348",Lèves,2
Institut de France (Paris),collège des Quatre-Nations,"48.857305555556,2.3369444444444",Paris,2
Musée Crozatier (Le Puy-en-Velay),musée Crozatier,"45.03861111,3.88305556",Le Puy-en-Velay,2
Musée des Beaux-Arts (Dijon),musée des Beaux-Arts de Dijon,"47.3216,5.04267",Dijon,2
Musée du Cinquantenaire (Bruxelles),musée Art et Histoire,"50.83903,4.39187",Bruxelles,2
Musée national des monuments français (Paris),musée des Monuments français,"48.863333333333,2.2897222222222",Paris,2
Musée national du château de Pau,musée national et domaine du château de Pau,"43.294869444444444,-0.3754305555555556",,2
Sainte-Chapelle (Vincennes),Sainte-Chapelle de Vincennes,"48.8424,2.43636",Vincennes,2
Académie des inscriptions et belles-lettres (Paris),Académie des inscriptions et belles-lettres,"48.863333333333,2.2897222222222",Paris,1
Bibliothèque Sainte-Geneviève (Paris),bibliothèque Sainte-Geneviève,"48.847083333333,2.3458333333333",Paris,1
Cathédrale (Aix-la-Chapelle),cathédrale d'Aix-la-Chapelle,"50.77475,6.0839222222222",Aix-la-Chapelle,1
Cathédrale Saint-Étienne (Meaux),cathédrale Saint-Étienne de Meaux,"48.96,2.878889",Meaux,1
Champs-sur-Marne,Champs-sur-Marne,"48.852777777778,2.6019444444444",,1
Chapelle de la Sorbonne (Paris),chapelle de la Sorbonne,"48.848333333333,2.3430555555556",Paris,1
Chartres,Chartres,"48.446666666667,1.4883333333333",,1
Château (Vaux-sur-Seine),château de Vaux,"49.01002,1.95595",Vaux-sur-Seine,1
Château d'Anet,château d'Anet,"48.858055555556,1.4386111111111",,1
Château d'Ussé (Rigny-Ussé),château d'Ussé,"47.249722222222,0.29111111111111",Rigny-Ussé,1
Christ Church (Manhasset),Christ Church Cemetery,"40.793271,-73.6966",Manhasset,1
Collège (Juilly),collège de Juilly,"49.011,2.706",Juilly,1
Département des antiquités orientales du musée du Louvre (Paris),département des antiquités orientales du musée du Louvre,"48.848333333333,2.3430555555556",Paris,1
Département des arts de l'Islam du musée du Louvre (Paris),département des arts de l'Islam du musée du Louvre,"48.848333333333,2.3430555555556",Paris,1
Département des arts graphiques du musée du Louvre (Paris),département des arts graphiques du musée du Louvre,"48.848333333333,2.3430555555556",Paris,1
Département des peintures du musée du Louvre (Paris),département des peintures du musée du Louvre,"48.848333333333,2.3430555555556",Paris,1
Domaine national de Versailles,"Établissement public du château, du musée et du domaine national de Versailles","48.806029, 2.128457",Versailles,1
Ecole militaire de Saint-Cyr-Coëtquidan (Guer),écoles de Saint-Cyr Coëtquidan,"47.941894,-2.134963",Guer,1
Eglise (Cléry-Saint-André),église Saint-Clodoald de Saint-Cloud,"48.8434,2.21939",Cléry-Saint-André,1
Eglise (Saint-Mandé),église Saint-Clodoald de Saint-Cloud,"48.8434,2.21939",Saint-Mandé,1
Eglise paroissiale (Arpajon),église Saint-Clément,"48.5922,2.24784",Arpajon,1
Eglise paroissiale Saint-Jean-Baptiste (Sceaux),église Saint-Jean-Baptiste de Sceaux,"48.7769,2.29599",Sceaux,1
Eglise Saint-Leu-Saint-Gilles (Paris),église Saint-Leu-Saint-Gilles,"48.862778,2.349722",Paris,1
Eglise Saint-Pierre-et-Saint-Paul (Rueil-Malmaison),église Saint-Pierre-Saint-Paul,"48.8764,2.18139",Rueil-Malmaison,1
Eglise Saint-Thomas-d'Aquin (Paris),église Saint-Thomas-d'Aquin de Paris,"48.856388888889,2.3275",Paris,1
Faculté de médecine (Montpellier),faculté de médecine de Montpellier,"43.612947222222225,3.8735416666666667",Montpellier,1
Hôtel de la préfecture de Seine-et-Marne (Melun),Melun,"48.539722222222,2.6591666666667",Melun,1
Hôtel de Ville (Rambouillet),hôtel de ville de Rambouillet,"48.64514,1.81973",Rambouillet,1
Hôtel de Ville (Rouen),hôtel de ville de Rambouillet,"48.64514,1.81973",Rouen,1
Hôtel-Dieu (Cluny),hôpital-hospice de Cluny,"46.43064,4.66039",Cluny,1
Ile-de-France,Île-de-France,"48.8522,2.3176",,1
Laboratoire de recherche des monuments historiques (Champs-sur-Marne),Laboratoire de recherche des monuments historiques,"48.852611,2.603667",Champs-sur-Marne,1
Le Favril,Le Favril,"48.463611111111,1.1286111111111",,1
Liebieghaus Skulpturen Sammlung (Francfort-sur-le-Main),Francfort-sur-le-Main,"50.113611111111,8.6797222222222",Francfort-sur-le-Main,1
Lord Mayor's Chapel (Bristol),Bristol,"51.45,-2.5833333333333",Bristol,1
Maison d'éducation de la Légion d'Honneur (Saint-Denis),maison d'éducation de la Légion d'honneur,"48.934592,2.359199",Saint-Denis,1
Musée Bernard d'Agesci (Niort),musée Bernard-d'Agesci,"46.320833333333,-0.45444444444444",Niort,1
Musée d'Art et d'Archéologie (Laon),Musée d'art et d'archéologie de Laon,"49.563,3.62712",Laon,1
Musée d'Art et d'Histoire (Cognac),musée d'art et d'histoire de Langres,"47.8649,5.33365",Cognac,1
Musée d'Art et d'Histoire (Langres),musée d'art et d'histoire de Langres,"47.8649,5.33365",Langres,1
Musée de l'Armée (Paris),musée de l'Armée,"48.85694444,2.31277778",Paris,1
Musée de Metz-La Cour d'Or (Metz),musée de la Cour d'Or,"49.12111111,6.17805556",Metz,1
Musée de Soissons,musée de Soissons,"49.38463,3.32741",,1
Musée des Beaux-Arts (Angers),musée des Beaux-Arts d'Angers,"47.46888888888889,-0.5547222222222222",Angers,1
Musée des Beaux-Arts (Lyon),musée des Beaux-Arts d'Angers,"47.46888888888889,-0.5547222222222222",Lyon,1
Musée des Beaux-Arts (Reims),musée des Beaux-Arts d'Angers,"47.46888888888889,-0.5547222222222222",Reims,1
Musée des Beaux-Arts (Rouen),musée des Beaux-Arts d'Angers,"47.46888888888889,-0.5547222222222222",Rouen,1
Musée des Beaux-Arts et d?Archéologie (Troyes),Troyes,"48.298888888889,4.0780555555556",Troyes,1
Musée des Beaux-Arts et d'Archéologie (Libourne),Troyes,"48.298888888889,4.0780555555556",Libourne,1
Musée des Beaux-Arts et de la Dentelle (Alençon),musée des beaux-arts et de la dentelle,"48.431,0.083272",Alençon,1
Musée Descartes (Descartes),musée Descartes,"46.974226, 0.703095",Descartes,1
Musée Jacquemart-André (Paris),musée Jacquemart-André,"48.87543,2.31051",Paris,1
Musée Jean de La Fontaine (Château-Thierry),musée Jean de La Fontaine,"49.04675,3.399994",Château-Thierry,1
Musée national (Varsovie),musée national de Varsovie,"52.23176111111111,21.024766666666668",Varsovie,1
Musée Sainte-Croix (Poitiers),musée Sainte-Croix,"46.57909689,0.34763935",Poitiers,1
Museum d'histoire naturelle (Paris),Muséum national d'histoire naturelle,"48.84222222222222,2.3561111111111113",Paris,1
The Walters Art Museum (Baltimore),Walters Art Museum,"39.296666666667,-76.616111111111",Baltimore,1
Tokyo,Tokyo,"35.689722222222,139.69222222222",,1
Troyes,Troyes,"48.298888888889,4.0780555555556",,1
Winchester College,Winchester College,"51.05834,-1.31259",,1
